X,Y,OBJECTID,FIELDNAME,FIELDAREA,ORGGRPNM,UNITNAME,UNITTYPCOD,UNITTYPDES,LOCATION,PERIODDATE,PERIODYRMN,PERIODMNTH,PERIODMNNM,PERIODYR,OILPRODMAS,OILPRODM3,OILPRDDENS,OILPRODMBD,DGASPRODMA,DGASPROKSM,DGASPROMMS,DGASPRODEN,AGASPRODMA,AGASPROMMS,AGASPROKSM,AGASPRODEN,GCONDMASS,GCONDVOL,GCONDMBD,GCONDDEN,INJWATMASS,INJWATVOL,INJWATMBD,WATPRODMAS,WATPRODVOL,WATPRODMBD,WELLREGNO
1.114562338,58.23141922,3001,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-03-15T00:00:00.000Z,201703,3,March,2017,2730.3966,3294,828.9,0.66836323,,,,,56.112,0.06379484,56,1.002,,,,,0,0,0,48163,48163,9.77242806,110/15a-L12
1.114562338,58.23141922,3002,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-04-15T00:00:00.000Z,201704,4,April,2017,2730.3966,3294,828.9,0.690642,,,,,56.112,0.06592133,56,1.002,,,,,0,0,0,48163,48163,10.09817567,110/15a-L12Z
1.114562338,58.23141922,3003,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-05-15T00:00:00.000Z,201705,5,May,2017,2509.0128,3024,829.7,0.61357935,,,,,49.5,0.05695968,50,0.99,,,,,0,0,0,46033,46033,9.34024419,110/15-L10
1.114562338,58.23141922,3004,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-06-15T00:00:00.000Z,201706,6,June,2017,259.0875,315,822.5,0.066045,,,,,5.892,0.007063,6,0.982,,,,,0,0,0,4896,4896,1.026528,110/15-L10Y
1.114562338,58.23141922,3005,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-07-15T00:00:00.000Z,201707,7,July,2017,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,110/15-L10Z
1.114562338,58.23141922,3006,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-08-15T00:00:00.000Z,201708,8,August,2017,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,110/15-L8Z
1.114562338,58.23141922,3007,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-09-15T00:00:00.000Z,201709,9,September,2017,27.5121,33,833.7,0.006919,,,,,0.975,0.00117717,1,0.975,,,,,0,0,0,153,153,0.032079,22/06c-B3Z
1.114562338,58.23141922,3008,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-10-15T00:00:00.000Z,201710,10,October,2017,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,3/03-C59
1.114562338,58.23141922,3009,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-11-15T00:00:00.000Z,201711,11,November,2017,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,3/08-S87Z
1.114562338,58.23141922,3010,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2017-12-15T00:00:00.000Z,201712,12,December,2017,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,206/08- 7A
1.114562338,58.23141922,3011,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-01-15T00:00:00.000Z,201801,1,January,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,3/08-S78Y
1.114562338,58.23141922,3012,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-02-15T00:00:00.000Z,201802,2,Feburary,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,3/03-C78
1.114562338,58.23141922,3013,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-03-15T00:00:00.000Z,201803,3,March,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,22/20-A7
1.114562338,58.23141922,3014,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-04-15T00:00:00.000Z,201804,4,April,2018,55.6569,67,830.7,0.01404767,,,,,0.957,0.00117717,1,0.957,,,,,0,0,0,305,305,0.06394833,22/22a- 7
1.114562338,58.23141922,3015,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-05-15T00:00:00.000Z,201805,5,May,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,22/22a- 7Y
1.114562338,58.23141922,3016,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-06-15T00:00:00.000Z,201806,6,June,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,22/22c- 3
1.114562338,58.23141922,3017,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-07-15T00:00:00.000Z,201807,7,July,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,22/22c- 3Z
1.114562338,58.23141922,3018,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-08-15T00:00:00.000Z,201808,8,August,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,22/23a- 3
1.114562338,58.23141922,3019,BALMORAL,CNS,PREMIER OIL PLC,BALMORAL,P,Oil Field Exporting to Pipeline,Offshore,2018-09-15T00:00:00.000Z,201809,9,September,2018,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,22/23a- 7
